  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
   236,    1.0882,    7.1976,    0.7274,    0.4449,    1.1155,    0.0586,    0.7138,    2.8599,    0.6996,    3.8000,    0.3991,   19.2058
   237,    1.0458,    7.1916,    0.7483,    0.4890,    1.0901,    0.0604,    0.7405,    2.8571,    0.7005,    3.6546,    0.5197,   19.1713
   238,    1.0885,    7.1357,    0.7434,    0.5189,    1.0829,    0.0586,    0.7173,    2.8644,    0.7008,    3.8001,    0.3955,   19.2076
   239,    1.0453,    7.1300,    0.7551,    0.5716,    1.0680,    0.0603,    0.7327,    2.8597,    0.6947,    3.6428,    0.5389,   19.1724
   240,    1.1175,    7.1709,    0.7164,    0.3454,    1.1525,    0.0586,    0.6930,    2.8643,    0.6856,    3.7930,    0.5324,   19.2315
   241,    1.0395,    7.1951,    0.7440,    0.3858,    1.1602,    0.0587,    0.6974,    2.8481,    0.6890,    3.6093,    0.6735,   19.1732
   242,    1.1417,    6.9905,    0.7408,    0.4617,    1.1413,    0.0586,    0.7926,    2.7909,    0.6850,    3.7999,    0.5150,   19.2240
   243,    1.0374,    7.0814,    0.7614,    0.4723,    1.1730,    0.0586,    0.7768,    2.7681,    0.6894,    3.6379,    0.6419,   19.1706
   244,    1.1068,    7.0824,    0.7385,    0.3904,    1.2901,    0.0587,    0.7108,    2.7434,    0.6829,    3.8158,    0.5012,   19.2238
   245,    1.0392,    7.0956,    0.7576,    0.4495,    1.2153,    0.0587,    0.7672,    2.7668,    0.6917,    3.6323,    0.6295,   19.1756
   246,    1.1080,    7.0790,    0.7377,    0.4185,    1.2037,    0.0586,    0.7129,    2.8233,    0.6866,    3.8017,    0.4925,   19.2257
   247,    1.0370,    7.0863,    0.7600,    0.4722,    1.1949,    0.0587,    0.7079,    2.8315,    0.6958,    3.6221,    0.6293,   19.1675
   248,    1.1100,    7.0523,    0.7377,    0.4434,    1.2007,    0.0588,    0.7120,    2.8264,    0.6886,    3.8272,    0.4675,   19.2286
   249,    1.0474,    7.0831,    0.7571,    0.4735,    1.1984,    0.0589,    0.7031,    2.8300,    0.7032,    3.6594,    0.5851,   19.1712
   250,    1.1112,    7.0859,    0.7415,    0.4045,    1.2077,    0.0588,    0.7087,    2.8356,    0.6950,    3.8417,    0.4353,   19.2282
   251,    1.0406,    7.0986,    0.7605,    0.4643,    1.2089,    0.0592,    0.7057,    2.8386,    0.7012,    3.6665,    0.5060,   19.1226
   252,    1.1254,    7.0118,    0.7420,    0.4371,    1.2464,    0.0597,    0.7155,    2.8485,    0.6903,    3.8592,    0.3899,   19.2306
   253,    1.0493,    7.0327,    0.7600,    0.4924,    1.2452,    0.0595,    0.7045,    2.8631,    0.7001,    3.6735,    0.5201,   19.1723
   254,    1.1073,    7.0628,    0.7397,    0.4205,    1.2389,    0.0587,    0.7089,    2.8728,    0.6827,    3.8335,    0.2935,   19.1217
   255,    1.0709,    7.1724,    0.7414,    0.3765,    1.2167,    0.0594,    0.7121,    2.8770,    0.6964,    3.6310,    0.5448,   19.1712
   256,    1.1726,    7.1238,    0.7452,    0.3156,    1.2184,    0.0595,    0.7146,    2.8829,    0.6933,    3.8704,    0.3492,   19.2483
   257,    1.0419,    7.2179,    0.7546,    0.3599,    1.1917,    0.0585,    0.7305,    2.8823,    0.6948,    3.7165,    0.4544,   19.1753
   258,    1.1586,    7.0655,    0.7504,    0.3346,    1.2553,    0.0585,    0.7083,    2.8967,    0.6875,    3.9100,    0.3096,   19.2377
   259,    1.0326,    7.1995,    0.7520,    0.3379,    1.2378,    0.0585,    0.7036,    2.9086,    0.6931,    3.6987,    0.4712,   19.1656
   260,    1.1915,    7.1118,    0.7372,    0.3752,    1.0501,    0.0586,    0.7288,    2.8671,    0.6757,    3.8195,    0.5357,   19.2528
   261,    1.0383,    7.2580,    0.7403,    0.3871,    1.0581,    0.0585,    0.7749,    2.8091,    0.6809,    3.6803,    0.6139,   19.1712
   262,    1.1434,    7.0392,    0.7433,    0.4251,    1.1242,    0.0586,    0.9113,    2.6777,    0.6822,    3.8254,    0.4987,   19.2338
   263,    1.0447,    7.1461,    0.7582,    0.4796,    1.0684,    0.0586,    0.9334,    2.6459,    0.6819,    3.6901,    0.5977,   19.1764
   264,    1.1473,    7.0489,    0.7498,    0.4884,    1.1356,    0.0585,    0.8665,    2.6316,    0.6889,    3.8970,    0.4250,   19.2418
   265,    1.0399,    7.1565,    0.7610,    0.4951,    1.0802,    0.0585,    0.9106,    2.6315,    0.6854,    3.8093,    0.4707,   19.1707
   266,    1.1492,    7.0436,    0.7497,    0.4130,    1.1607,    0.0585,    0.8507,    2.7160,    0.6914,    3.9224,    0.3835,   19.2427
   267,    1.0366,    7.1149,    0.7654,    0.5352,    1.0793,    0.0585,    0.8310,    2.7406,    0.6956,    3.8008,    0.4394,   19.1706
   268,    1.1542,    7.0116,    0.7428,    0.5305,    1.0852,    0.0585,    0.8398,    2.7400,    0.6899,    3.9210,    0.3659,   19.2439
   269,    1.0392,    7.1149,    0.7624,    0.5420,    1.0951,    0.0585,    0.8270,    2.7436,    0.6946,    3.7991,    0.4250,   19.1734
   270,    1.1534,    7.0461,    0.7460,    0.4119,    1.1777,    0.0585,    0.8304,    2.7700,    0.6895,    3.9360,    0.3200,   19.2432
   271,    1.0384,    7.1170,    0.7617,    0.5361,    1.0961,    0.0585,    0.8376,    2.7640,    0.6975,    3.7895,    0.3993,   19.1674
   272,    1.1081,    7.0206,    0.7463,    0.5373,    1.1264,    0.0588,    0.8443,    2.7664,    0.6945,    3.8047,    0.4097,   19.2218
   273,    1.1049,    6.9733,    0.7571,    0.5905,    1.1320,    0.0586,    0.8230,    2.7847,    0.6911,    3.6088,    0.5613,   19.1572
   274,    1.1021,    6.9884,    0.7418,    0.5251,    1.1863,    0.0586,    0.8406,    2.7720,    0.6931,    3.7928,    0.4124,   19.2182
   275,    1.0974,    7.1390,    0.7414,    0.4459,    1.1310,    0.0585,    0.8288,    2.7843,    0.6866,    3.6061,    0.5763,   19.1673
